##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
9300167name;1938 Max Schmeling vs Joe Louis;1938 Max Schmeling vs Joe Louis;;;1938 Max Schmeling gegen Joe Louis;;;;;;X
9300167desc;In 1936, Max Schmeling knocked out American rising star Joe Louis, placing him as the number one contender for Jim Braddock's title, but Louis got the fight and knocked Braddock out to win the championship in 1937. Schmeling continued to press for a chance at a rematch with Louis and in the meantime padded his record against overmatched fighters Ben Foord and Steve Dudas. In 1938, champion Joe Louis announced that he would indeed face Schmeling for the title. The rematch became an instant international sensation. Many clamored impatiently for its happening, but others, afraid of international tensions and the possibility of Hitler taking over the championship, protested. The controversy and ballyhoo led to the event becoming the most anticipated boxing match since the rematch between Dempsey and Gene Tunney, or possibly earlier. Louis, with his poor, African-American roots was adopted by American fans as the symbol of America as a land of opportunity. In contrast, Americans perceived Schmeling and his ties to Hitler as an obvious threat to those opportunities and ideals. When the German walked to the ring at Yankee Stadium on June 22, 1938, he did so under a hail of garbage thrown from the stands. Louis came out blazing in the first round and Schmeling tried to counter-punch as he had in the first bout, but to no avail. Driven into the ropes and battered with a fusillade of short, crisp blows from every angle, Schmeling turned his back to his opponent and clutched onto the ropes, letting out a scream that even years later, many spectators could recall vividly. A few punches later, Schmeling was knocked down again. From then on, he was helpless. He rose but fell moments later and the fight was stopped. When he returned to Germany, Schmeling was now shunned by the National Socialists. During World War II, he would serve as an elite paratrooper (Fallschirmjäger).;In 1936, Max Schmeling knocked out American rising star Joe Louis, placing him as the number one contender for Jim Braddock's title, but Louis got the fight and knocked Braddock out to win the championship in 1937. Schmeling continued to press for a chance at a rematch with Louis and in the meantime padded his record against overmatched fighters Ben Foord and Steve Dudas. In 1938, champion Joe Louis announced that he would indeed face Schmeling for the title. The rematch became an instant international sensation. Many clamored impatiently for its happening, but others, afraid of international tensions and the possibility of Hitler taking over the championship, protested. The controversy and ballyhoo led to the event becoming the most anticipated boxing match since the rematch between Dempsey and Gene Tunney, or possibly earlier. Louis, with his poor, African-American roots was adopted by American fans as the symbol of America as a land of opportunity. In contrast, Americans perceived Schmeling and his ties to Hitler as an obvious threat to those opportunities and ideals. When the German walked to the ring at Yankee Stadium on June 22, 1938, he did so under a hail of garbage thrown from the stands. Louis came out blazing in the first round and Schmeling tried to counter-punch as he had in the first bout, but to no avail. Driven into the ropes and battered with a fusillade of short, crisp blows from every angle, Schmeling turned his back to his opponent and clutched onto the ropes, letting out a scream that even years later, many spectators could recall vividly. A few punches later, Schmeling was knocked down again. From then on, he was helpless. He rose but fell moments later and the fight was stopped. When he returned to Germany, Schmeling was now shunned by the Nazis. During World War II, he would serve as an elite paratrooper (Fallschirmjäger).;;;Im Juni 1938 bekam Schmeling – erneut in New York – die zweite Chance, Weltmeister zu werden, da Joe Louis einen Rückkampf gegen den einzigen Mann anstrebte, der ihn geschlagen hatte. Schmeling wurde dabei sowohl von deutscher als auch von internationaler Seite als Vertreter des inzwischen an die Macht gekommenen NS-Regimes gesehen. Diesmal beging Louis nicht mehr den Fehler der tiefliegenden, linken Hand, schlug lange Geraden zu Schmelings Kopf, und trieb ihn gleich zu Beginn der Runde zurück. Schmeling ging mehrmals zu Boden, stand jedoch immer wieder auf, bevor der Kampf schließlich durch die Intervention von Schmelings Trainer Max Machon abgebrochen wurde. Louis gewann souverän in der ersten Runde. Dies war Schmelings letzter Boxkampf in den USA. Am 2. Juli 1939 gewann Schmeling gegen Adolf Heuser zum letzten Mal die Europameisterschaft im Schwergewicht. Im Jahr 1940 meldete er sich zum Dienst in der Wehrmacht. Schmeling wurde als Fallschirmjäger am 20. Mai 1941 beim ersten Angriff auf die von Großbritannien verteidigte Mittelmeerinsel Kreta (Luftlandeschlacht um Kreta) eingesetzt. Schmeling verletzte sich bei der Landung, wurde im Lazarett behandelt und anschließend 'nicht-kv' (nicht-kriegsdienstverwendungsfähig) geschrieben. Aufgrund seiner Verletzung wurde Schmeling Ostern 1943 aus der Wehrmacht entlassen und bis Ende des Krieges zum Dienst in Kriegsgefangenenlagern eingesetzt.;;;;;;X
9300168name;Tungsten Fever;Tungsten Fever;;;Wolfram Fieber;;;;;;X
9300168desc;Tungsten, or volfram, was a key material used by German industries, when Operation Barbarossa was launched, Germany could no longer buy it from its main supplier, China. This forced the Germans to look for other sources of volfram, which resulted in the Iberian volfram mines being heavily invested in and volfram production skyrocketed in the area.;Tungsten, or volfram, was a key material used by German industries, when Operation Barbarossa was launched, Germany could no longer buy it from its main supplier, China. This forced the Germans to look for other sources of volfram, which resulted in the Iberian volfram mines being heavily invested in and volfram production skyrocketed in the area.;;;Wolfram war ein wichtiges Material für die deutsche Industrie, als das Unternehmen Barbarossa begann. Deutschland konnte es nicht mehr von seinem Hauptlieferanten China importieren, weswegen man gezwungen war andere Quellen für dieses begehrte Material zu finden. Vor allem in den iberischen Wolframminen wurde viel investiert, weshalb dort die Wolframproduktion in die Höhe schoss.;;;;;;X
9300170name;Bracero Program;Bracero Program;;;Bracero Programm;;;;;;X
9300170desc;The Bracero Program (named for the Spanish term bracero, meaning 'manual laborer') was a series of laws and diplomatic agreements, initiated by an August 1942 exchange of diplomatic notes between the United States and Mexico, for the importation of temporary contract laborers from Mexico to the United States. American president Franklin D. Roosevelt met with Mexican president Manuel Ávila Camacho in Monterrey, Mexico to discuss Mexico as part of the Allies in World War II and the Bracero Program. This program was initially prompted by a demand for manual labor during World War II and began with the U.S. government bringing in a few hundred experienced Mexican agricultural laborers to harvest sugar beets in the Stockton, California area. The program soon spread to cover most of the United States and provided workers for the agricultural labor market (with the notable exception being Texas, which initially opted out of the program in preference to an 'open border' policy, and was denied braceros by the Mexican government until 1947 due to perceived mistreatment of Mexican laborers). As a corollary, the railroad bracero program was independently negotiated to supply U.S. railroads initially with unskilled workers for railroad track maintenance but eventually to cover other unskilled and skilled labor. By 1945, the quota for the agricultural program was more than 75,000 braceros working in the U.S. railroad system and 50,000 braceros working in U.S. agriculture at any one time.;The Bracero Program (named for the Spanish term bracero, meaning 'manual laborer') was a series of laws and diplomatic agreements, initiated by an August 1942 exchange of diplomatic notes between the United States and Mexico, for the importation of temporary contract laborers from Mexico to the United States. American president Franklin D. Roosevelt met with Mexican president Manuel Ávila Camacho in Monterrey, Mexico to discuss Mexico as part of the Allies in World War II and the Bracero Program. This program was initially prompted by a demand for manual labor during World War II and began with the U.S. government bringing in a few hundred experienced Mexican agricultural laborers to harvest sugar beets in the Stockton, California area. The program soon spread to cover most of the United States and provided workers for the agricultural labor market (with the notable exception being Texas, which initially opted out of the program in preference to an 'open border' policy, and was denied braceros by the Mexican government until 1947 due to perceived mistreatment of Mexican laborers). As a corollary, the railroad bracero program was independently negotiated to supply U.S. railroads initially with unskilled workers for railroad track maintenance but eventually to cover other unskilled and skilled labor. By 1945, the quota for the agricultural program was more than 75,000 braceros working in the U.S. railroad system and 50,000 braceros working in U.S. agriculture at any one time.;;;Während der Zeit des Zweiten Weltkrieges rissen die transatlantische Migration von Europäern sowie die transpazifische Migration zunächst von Chinesen, und anschließend, nachdem die Wanderung aus politisch-rassistischen Gründen, beendet wurde, von Japanern weitgehend ab. Zudem lehnten sowohl die USA, als auch Kanada die Aufnahme von insbesondere jüdischen Flüchtlingen aus ebenfalls rassistisch-antisemitischen Gründen rigoros ab. Vor diesem Hintergrund erklärt sich, wieso die USA 1942 alternativ ein umfassendes Gastarbeiter-, bzw. Kontraktarbeiterprogramm (Mexican Contract Labor Agreement), das so genannte 'Bracero-Programm', zur Anwerbung von mexikanischen Land- und Eisenbahnarbeitern initiierten, um dem Arbeitskräftemangel von während des Krieges zu begegnen. Dieses Programm wurde bis weit über das Kriegsende hinaus Schritt für Schritt bis 1964 verlängert. Es erreichte seinen Höhepunkt erst Ende der 1950er Jahre, als jährlich über 400.000 mexikanische Landarbeiter zeitweise in die USA migrierten. Als das Programm beendet wurde, waren über vier Millionen Mexikaner vorübergehend als Arbeitskräfte in den USA tätig gewesen.;;;;;;X
9300171name;Portuguese Volunteers Join Franco's Army;Portuguese Volunteers Join Franco's Army;;;Portugesische Freiwillige schließen sich Francos Truppen an;;;;;;X
9300171desc;The Spanish Civil War had large numbers of non-Spanish citizens participating in combat and advisory positions. Foreign governments contributed varying amounts of financial assistance and military aid to Nationalist forces led by Generalísimo Francisco Franco and those fighting on behalf of the Second Spanish Republic, even though all the European powers had signed a Non-Intervention Agreement in 1936. While individual sympathy for the plight of the Spanish Republic was widespread in the liberal democracies however, practical help from governments was to prove a different matter. The army rebels pleas meanwhile were soon answered and Franco was immediately helped by the fascist European dictators. The Portuguese furnished about 8,000 troops for the Nationalist Side, known as Viriatos after the Viriatos Legion.;The Spanish Civil War had large numbers of non-Spanish citizens participating in combat and advisory positions. Foreign governments contributed varying amounts of financial assistance and military aid to Nationalist forces led by Generalísimo Francisco Franco and those fighting on behalf of the Second Spanish Republic, even though all the European powers had signed a Non-Intervention Agreement in 1936. While individual sympathy for the plight of the Spanish Republic was widespread in the liberal democracies however, practical help from governments was to prove a different matter. The army rebels pleas meanwhile were soon answered and Franco was immediately helped by the fascist European dictators. The Portuguese furnished about 8,000 troops for the Nationalist Side, known as Viriatos after the Viriatos Legion.;;;Als in Spanien 1936 der Bürgerkrieg ausbrach, unterstützte der portugiesische 'Estado Novo' den Putsch Francos. Zudem erfolgte die Versorgung der Nationalisten mit Kriegsmaterial über Portugal. Bereits in den ersten Wochen des Krieges sollte eine Legion, die Legion Viriato, aufgestellt werden und nach Spanien entsandt werden. Nach pro-republikanischen Unruhen in Portugal beschloss die Regierung Salazar Abstand von einem direkten Eingriff auf das Kriegsgeschehen zu nehmen. Bevor überhaupt eine Mitgliederwerbung für die Legion stattfinden konnte, wurde diese aufgelöst. Unter dem Deckmantel der Neutralität autorisierte die portugiesische Regierung die Rekrutierung von Freiwilligen für die Spanische Legion. Portugiesische Freiwillige, die durch eine groß angelegte Öffentlichkeitskampagne angeworben wurden und für die spanischen Nationalisten kämpften, wurden deshalb als Viriatos bezeichnet. Bis zu 12.000 portugiesische Freiwillige kämpften während des Krieges auf Seiten Francos. Während des Spanischen Bürgerkrieges gab es im Gegensatz zu den faschistischen Staaten Deutschland und Italien nie eine autonome portugiesische Kommandostruktur. Bei der Siegesparade Francos in Madrid, am 19.Mai 1939, bildete die portugiesische Legion Viriato mit der deutschen Legion Condor die Nachhut. Bereits im März 1939, kurz vor dem Ende des Spanischen Bürgerkrieges im April 1939, unterzeichnete Portugal einen Freundschafts- und Nichtangriffspakt mit Spanien.;;;;;;X
9300173name;Mexico Supports Republican Spain;Mexico Supports Republican Spain;;;Mexiko unterstützt die spanische Republik;;;;;;X
9300173desc;The Spanish Civil War had large numbers of non-Spanish citizens participating in combat and advisory positions. Foreign governments contributed varying amounts of financial assistance and military aid to Nationalist forces led by Generalísimo Francisco Franco and those fighting on behalf of the Second Spanish Republic, even though all the European powers had signed a Non-Intervention Agreement in 1936. While individual sympathy for the plight of the Spanish Republic was widespread in the liberal democracies however, practical help from governments was to prove a different matter. The army rebels pleas meanwhile were soon answered and Franco was immediately helped by the fascist European dictators. The Mexican Republic supported fully and publicly the claim of the Madrid government and the Republicans. Mexico refused to follow the French-British non-intervention proposals. President Lázaro Cárdenas saw the war as similar to Mexico's own revolution although a large part of Mexican society wanted a Nationalist victory. Mexico's attitude gave immense moral comfort to the Republic, especially since the major Latin American governments—those of Argentina, Brazil, Chile, and Peru—sympathized more or less openly with the Nationalists. Mexico furnished $2,000,000 in aid and provided some material assistance, which included a small amount of American-made aircraft such as the Bellanca CH-300 and Spartan Zeus that served in the Mexican Air Force.;The Spanish Civil War had large numbers of non-Spanish citizens participating in combat and advisory positions. Foreign governments contributed varying amounts of financial assistance and military aid to Nationalist forces led by Generalísimo Francisco Franco and those fighting on behalf of the Second Spanish Republic, even though all the European powers had signed a Non-Intervention Agreement in 1936. While individual sympathy for the plight of the Spanish Republic was widespread in the liberal democracies however, practical help from governments was to prove a different matter. The army rebels pleas meanwhile were soon answered and Franco was immediately helped by the fascist European dictators. The Mexican Republic supported fully and publicly the claim of the Madrid government and the Republicans. Mexico refused to follow the French-British non-intervention proposals. President Lázaro Cárdenas saw the war as similar to Mexico's own revolution although a large part of Mexican society wanted a Nationalist victory. Mexico's attitude gave immense moral comfort to the Republic, especially since the major Latin American governments—those of Argentina, Brazil, Chile, and Peru—sympathized more or less openly with the Nationalists. Mexico furnished $2,000,000 in aid and provided some material assistance, which included a small amount of American-made aircraft such as the Bellanca CH-300 and Spartan Zeus that served in the Mexican Air Force.;;;Die republikanische Regierung erhielt auch Hilfe aus Mexiko. Im Gegensatz zu den Vereinigten Staaten und wichtigen lateinamerikanischen Staaten, den ABC-Staaten und Peru, unterstützte die mexikanische Regierung die Republikaner. Mexiko weigerte sich, die Nicht-Interventions-Vereinbarung vom September 1936 zu befolgen und unterstützte die Republikaner mit über 2.000.000 $, sowie mit 20.000 Gewehren mit 20 Millionen Patronen. Mexikos wichtigste Beiträge für die spanische Republik waren die diplomatische Hilfe und die Aufnahme von rund 50.000 republikanischen Flüchtlingen. Darunter waren viele spanische Intellektuelle sowie verwaiste Kinder von republikanischen Familien.;;;;;;X
9300175name;Align Portugal;Align Portugal;;;Mit Portugal verbünden;;;;;;X
9300175desc;The Treaty of Windsor (1386) between Portugal and England, is the oldest alliance in the world. But since 1932, Portugal had become an authoritarian regime under António de Oliveira Salazar and the Estado Novo, often regarded as pro-fascist. In March 1939, the Portuguese signed a treaty of friendship and non-aggression with nationalist Spain. In April 1939, Portugal refused the invitation of the Italian Ambassador to join the Anti-Comintern Pact, an alliance between Germany, Italy, and Japan. On June 29, 1940, Spain and Portugal signed an additional protocol to the Treaty of Friendship and Non-Aggression. With Spain now in the Axis and Gibraltar into our hands, we can now aim at aligning Portugal.;The Treaty of Windsor (1386) between Portugal and England, is the oldest alliance in the world. But since 1932, Portugal had become an authoritarian regime under António de Oliveira Salazar and the Estado Novo, often regarded as pro-fascist. In March 1939, the Portuguese signed a treaty of friendship and non-aggression with nationalist Spain. In April 1939, Portugal refused the invitation of the Italian Ambassador to join the Anti-Comintern Pact, an alliance between Germany, Italy, and Japan. On June 29, 1940, Spain and Portugal signed an additional protocol to the Treaty of Friendship and Non-Aggression. With Spain now in the Axis and Gibraltar into our hands, we can now aim at aligning Portugal.;;;Das Abkommen von Windsor (1386) zwischen Portugal und England ist die älteste Allianz in der Welt. Doch seit 1932 herrscht in Portugal eine autoritäre Regeriung unter Antonio de Oliveira Salazar und dem Estado Novo. Im März 1939 unterzeichnete Portugal mit dem nationalistischen Spanien ein Abkommen der Freundschaft und  einen Nicht-Angriffs-Pakt. Im April 1939 lehnte Portugal ein vom italienischen Botschafter vorgeschlagene Einladung zum Anti-Komintern-Pakt, einer Allianz zwischen Deutschland, Italien und Japan, ab. Am 29. Juni 1940 unterzeichneten Spanien und Portugal ein zusätzliches Protokoll zum Abkommen der Freundscaft und dem Nicht-Angriffs-Pakt. Mit Spanien in der Achse und Gibraltar in unseren Händen können wir nun mit Portugal über einen Beitritt zum Dreimächte-Pakt verhandeln.;;;;;;X
9300176name;Germany Aims at Aligning Portugal;Germany Aims at Aligning Portugal;;;Deutschland sucht die Annäherung Portugals;;;;;;X
9300177name;The Second Rubber Boom;The Second Rubber Boom;;;Der zweite Kautschukboom;;;;;;X
9300177desc;The Amazon experienced a rubber boom during the Second World War, although it was of brief duration. As Japan dominated the eastern Pacific Ocean from the beginning of 1942 and invaded Malaysia, the rubber plantations there came under their control, which resulted in the loss of 97 percent of Asiatic rubber production. Anxious to find a way to resolve this impasse and, at the same time, supply the Allied Forces with the rubber needed for war equipment, the Brazilian government made an agreement with the United States government (the Washington Accords), which resulted in the large-scale extraction of Amazon latex, an operation which became known as the 'Batalha da borracha' ('rubber battle'). This resulted in the implementation of new elements, including infrastructure, in Belém and Manaus. An example of this is the Grande Hotel, a luxurious hotel constructed in Belém in only three years, which today is the Hilton Hotel.;The Amazon experienced a rubber boom during the Second World War, although it was of brief duration. As Japan dominated the eastern Pacific Ocean from the beginning of 1942 and invaded Malaysia, the rubber plantations there came under their control, which resulted in the loss of 97 percent of Asiatic rubber production. Anxious to find a way to resolve this impasse and, at the same time, supply the Allied Forces with the rubber needed for war equipment, the Brazilian government made an agreement with the United States government (the Washington Accords), which resulted in the large-scale extraction of Amazon latex, an operation which became known as the 'Batalha da borracha' ('rubber battle'). This resulted in the implementation of new elements, including infrastructure, in Belém and Manaus. An example of this is the Grande Hotel, a luxurious hotel constructed in Belém in only three years, which today is the Hilton Hotel.;;;Das Amazonasgebiet erfuhr während des Zweiten Weltkrieges einen kurzen Kautschukboom. Da Japan im östlichen pazifischen Ozean dominierte waren die Kautschuk-Plantagen seit Beginn des Jahres 1942 aufgrund der Invasion von Malaya unter ihrer Kontrolle. Dies führte jedoch zum Verlust von 97 Prozent der asiatischen Kautschukproduktion. Bemüht einen Weg zu finden, um diesen Stillstand zu beenden, und zur gleichen Zeit die Alliierten die den Kautschuk für Kriegsmaterial benötigten, zu versorgen unterzeichnete deswegen die brasilianische Regierung mit der US Regierung ein Abkommen (die Washington Accords). Dieses Abkommen führte zu einer groß angelegten Extraktion von Kautschuk einer Unternehmung die später bekannt wurde unter dem Namen 'Batalha da borracha' ('Kautschuk Kampf'). Dies führte zur Realisierung von neuen Elementen inklusive dem Ausbau der Infrastruktur in Belém und Manaus. Ein Beispiel dafür ist das Grande Hotel, ein luxuriöses Hotel, das in Belém in nur drei Jahren gebaut wurde. Heute ist dieses Hotel als das Hilton Hotel bekann.;;;;;;X
9300178a;Let us fund these projects;Let us fund these projects;;;Lasst uns diese Projekte finanzieren;;;;;;X
9300178b;It is not worth it;It is not worth it;;;Es ist es nicht wert;;;;;;X
9300179name;The Second Neuschwabenland Expedition;The Second Neuschwabenland Expedition;;;Die zweie Neuschwabenland-Expedition;;;;;;X
9300179desc;Like many other countries, Germany sent expeditions to the Antarctic region in the late 19th and early 20th centuries, most of which were scientific. The 1938 German Antarctic Expedition  was led by Alfred Ritscher and aimed at finding an area for a German whaling station, as a way to increase Germany’s production of fat. Another goal was to scout possible locations for a German naval base. Two more expeditions were scheduled for 1939–1940 and 1940–1941. The second expedition would also investigate the feasibility of naval bases from which Germany could control the South Atlantic and Indian Ocean along with the Drake Passage.;Like many other countries, Germany sent expeditions to the Antarctic region in the late 19th and early 20th centuries, most of which were scientific. The 1938 German Antarctic Expedition  was led by Alfred Ritscher and aimed at finding an area for a German whaling station, as a way to increase Germany’s production of fat. Another goal was to scout possible locations for a German naval base. Two more expeditions were scheduled for 1939–1940 and 1940–1941. The second expedition would also investigate the feasibility of naval bases from which Germany could control the South Atlantic and Indian Ocean along with the Drake Passage.;;;Die Deutsche Antarktische Expedition 1938/39 war die dritte offizielle Antarktisexpedition des Deutschen Reiches. Sie wurde durch den 'Beauftragten für den Vierjahresplan' Hermann Göring angeordnet. Die Planung und Vorbereitung oblag Ministerialrat Helmuth Wohlthat. Die Expedition wurde vorwiegend aus wirtschaftlichen Erwägungen durchgeführt, um der deutschen Walfangflotte neue Fanggründe zu sichern und so die 'Fettlücke', d. h. die Abhängigkeit des Deutschen Reiches vom Import technischer Fette und Nahrungsfette, zu verringern. Es bestand die Absicht, eine Grundlage für eine spätere deutsche Besitzergreifung eines Antarktis-Sektors zu schaffen, daher wurden die Vorbereitungen für diese Expedition unter strengster Geheimhaltung getroffen. Das Zielgebiet der Expedition war die Region zwischen 20° West und 20° Ost. Die Deutsche Antarktische Expedition erreichte am 19. Januar 1939 das Arbeitsgebiet an der Prinzessin-Martha-Küste. In sieben Messbild-Flügen zwischen dem 20. Januar und 5. Februar 1939 konnte mit Reihenbildkameras eine Fläche von ca. 350.000 km² photogrammetrisch aufgenommen werden. Dabei entdeckte man bisher völlig unbekannte, eisfreie Gebirgsregionen im Küstenhinterland. An den Umkehrpunkten der Flugpolygone wurden Metallpfeile mit Hoheitszeichen abgeworfen, um deutsche Besitzansprüche zu begründen (die allerdings niemals erhoben wurden). Bei zusätzlichen acht Sonderflügen, an denen auch Ritscher teilnahm, wurden besonders interessante Regionen gefilmt und mit Farbfotos aufgenommen. An Bord der Schwabenland und an der Küste auf dem Meereis konnten biologische Untersuchungen durchgeführt werden. Die Ausrüstung ließ jedoch weder Schlittenexpeditionen auf das Schelfeis noch Landungen der Flugboote in der Gebirgsregion zu. Die Erkundungen erfolgten also, ohne dass ein einziges Expeditionsmitglied das Territorium betreten hat. Die eingesehene und überflogene Region zwischen 10° W und 15° O wurde von der Expeditionsleitung 'Neuschwabenland' getauft. Zwischenzeitlich hatte die norwegische Regierung durch eine Indiskretion der Ehefrau des stellvertretenden Expeditionsleiters Ernst Herrmann gegenüber dem norwegischen Geologen Adolf Hoel Informationen über die deutschen Aktivitäten erhalten und den gesamten Sektor zwischen 20° W und 45° O am 14. Januar 1939 als Dronning Maud Land zu norwegischem Territorium erklärt, ohne dessen südliche Erstreckung zu definieren. Auf Wunsch des Oberkommandos der Marine unternahmen Besatzungsmitglieder am 18. März eine Landung auf der brasilianischen Insel Trindade, um zu prüfen, ob U-Boote dort unauffällig mit frischem Wasser und Nahrung versorgt werden konnten. Dabei erlitt die Landungsmannschaft in einer kleinen Bucht Schiffbruch und musste nach einer Kletterpartie gerettet werden. Da die Landung unter strengster Geheimhaltung abgelaufen war, erschien hierüber nichts in Ritschers gedrucktem Bericht. Am 11. April 1939 lief die Schwabenland wieder im Hamburger Hafen ein. Bis 1942 fertigte Otto von Gruber detaillierte topografische Karten vom östlichen Neuschwabenland im Maßstab 1:50.000 und eine Übersichtskarte Neuschwabenlands an. Unter den neu entdeckten Gebieten waren beispielsweise die nach dem Eislotsen der Expedition Otto Kraul benannten Kraulberge. Die Auswertung der Resultate im westlichen Neuschwabenland wurde durch den Zweiten Weltkrieg unterbrochen.;;;;;;X
9300180name;German Submarine Celebrates Finnish Independence;German Submarine Celebrates Finnish Independence;;;Deutsches U-Boot feiert die finnische Unabhängigkeit;;;;;;X
